"school","source","md5","retrieved","processed","year","B1_men_full_new_undergrad","B1_men_full_first_undergrad","B1_men_full_other_undergrad","B1_men_full_degree_undergrad","B1_men_full_credit_undergrad","B1_men_full_total_undergrad","B1_men_part_new_undergrad","B1_men_part_first_undergrad","B1_men_part_other_undergrad","B1_men_part_degree_undergrad","B1_men_part_credit_undergrad","B1_men_part_total_undergrad","B1_men_full_new_grad","B1_men_full_other_grad","B1_men_full_degree_grad","B1_men_full_credit_grad","B1_men_full_total_grad","B1_men_part_new_grad","B1_men_part_other_grad","B1_men_part_degree_grad","B1_men_part_credit_grad","B1_men_part_total_grad","B1_men_full_total","B1_men_part_total","B1_women_full_new_undergrad","B1_women_full_first_undergrad","B1_women_full_other_undergrad","B1_women_full_degree_undergrad","B1_women_full_credit_undergrad","B1_women_full_total_undergrad","B1_women_part_new_undergrad","B1_women_part_first_undergrad","B1_women_part_other_undergrad","B1_women_part_degree_undergrad","B1_women_part_credit_undergrad","B1_women_part_total_undergrad","B1_women_full_new_grad","B1_women_full_other_grad","B1_women_full_degree_grad","B1_women_full_credit_grad","B1_women_full_total_grad","B1_women_part_new_grad","B1_women_part_other_grad","B1_women_part_degree_grad","B1_women_part_credit_grad","B1_women_part_total_grad","B1_women_full_total","B1_women_part_total","B1_other_full_new_undergrad","B1_other_full_first_undergrad","B1_other_full_other_undergrad","B1_other_full_degree_undergrad","B1_other_full_credit_undergrad","B1_other_full_total_undergrad","B1_other_part_new_undergrad","B1_other_part_first_undergrad","B1_other_part_other_undergrad","B1_other_part_degree_undergrad","B1_other_part_credit_undergrad","B1_other_part_total_undergrad","B1_other_full_new_grad","B1_other_full_other_grad","B1_other_full_degree_grad","B1_other_full_credit_grad","B1_other_full_total_grad","B1_other_part_new_grad","B1_other_part_other_grad","B1_other_part_degree_grad","B1_other_part_credit_grad","B1_other_part_total_grad","B1_other_full_total","B1_other_part_total","B1_undergrad","B1_grad","B1_total","G1_first_year_private","G1_first_year_public_district","G1_first_year_public_state","G1_first_year_public_out_state","G1_first_year_non_resident","G1_first_year_fees","G1_first_year_food_room","G1_first_year_room","G1_first_year_food","G1_first_year_total","G1_undergraduate_private","G1_undergraduate_public_district","G1_undergraduate_public_state","G1_undergraduate_public_out_state","G1_undergraduate_non_resident","G1_undergraduate_fees","G1_undergraduate_food_room","G1_undergraduate_room","G1_undergraduate_food","G1_undergraduate_total","G1_total","G5_resident_book_supplies","G5_resident_room","G5_resident_food","G5_resident_room_food","G5_resident_transport","G5_resident_other","G5_commuter_home_book_supplies","G5_commuter_home_room","G5_commuter_home_food","G5_commuter_home_room_food","G5_commuter_home_transport","G5_commuter_home_other","G5_commuter_not_home_book_supplies","G5_commuter_not_home_room","G5_commuter_not_home_food","G5_commuter_not_home_room_food","G5_commuter_not_home_transport","G5_commuter_not_home_other","H1_need_scholarship_federal","H1_need_scholarship_state","H1_need_scholarship_institutional","H1_need_scholarship_external","H1_need_scholarship_total","H1_need_self_loan","H1_need_self_federal","H1_need_self_other","H1_need_self_total","H1_need_parent_loan","H1_need_waiver","H1_need_athletic","H1_non_need_scholarship_federal","H1_non_need_scholarship_state","H1_non_need_scholarship_institutional","H1_non_need_scholarship_external","H1_non_need_scholarship_total","H1_non_need_self_loan","H1_non_need_self_federal","H1_non_need_self_other","H1_non_need_self_total","H1_non_need_parent_loan","H1_non_need_waiver","H1_non_need_athletic"
"Belmont University","https://www.belmont.edu/irsa/facts-figures/cds_2023_2024_august_14_241.pdf","e0b34719064effc7e159fa7b63be961b","Mon Oct 14 17:46:21 2024","Wed Oct 30 16:23:18 2024",2023,577,141,1667,2385,2,2387,1,6,108,115,10,125,175,252,NA,0,427,2,12,NA,0,14,NA,NA,1085,180,3385,4650,5,4655,6,9,141,156,7,163,445,618,NA,0,1063,4,21,NA,3,28,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,7330,1532,NA,40560,NA,NA,NA,NA,1980,15010,8170,6840,NA,40560,NA,NA,NA,NA,1980,15010,8170,6840,NA,NA,1500,NA,NA,NA,2720,3030,1500,NA,NA,NA,2720,3030,1500,NA,NA,21060,2720,3030,8990124,8516850,NA,0,111663816,25765564,1915626,0,27681190,20139727,NA,2295512,6973,1767150,NA,0,21644292,6736643,NA,0,6736643,6171774,NA,3943534
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2022-2023.pdf","9c50a1efe1763f7be1403b76eeebd284","Mon Oct 14 17:50:06 2024","Wed Oct 30 16:23:18 2024",2022,607,138,1602,2347,5,2352,3,5,112,120,5,125,171,264,NA,0,435,3,17,NA,0,20,NA,NA,1303,202,3235,4740,8,4748,4,5,133,142,9,151,396,631,NA,0,1027,10,31,NA,3,44,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,7376,1526,8902,39400,NA,NA,NA,NA,1920,14290,7780,6510,NA,39400,NA,NA,NA,NA,1920,14290,7780,6510,NA,NA,1400,NA,NA,NA,2630,2930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7649168,7367400,NA,0,103965607,23928106,2321204,0,26249310,21832793,3121047,1639256,6895,1592400,NA,0,20401809,6975077,NA,0,6975077,6766620,1922950,4298354
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2019-2020.pdf","914222425481d3656b829628161ac159","Mon Oct 14 17:50:06 2024","Wed Oct 30 16:23:18 2024",2019,589,87,1603,2279,6,2285,1,5,94,100,2,102,212,285,NA,1,498,7,27,NA,0,34,NA,NA,1086,116,3055,4257,21,4278,8,6,118,132,11,143,415,622,NA,0,1037,13,37,NA,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6808,1620,8428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5669743,4411151,50995775,0,61076669,23935104,2871588,0,26806692,29859360,2307795,1854041,0,1306700,16935475,0,18242175,5280057,NA,0,5280057,6807078,1464972,3843913
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2017-2018.pdf","76206f7ed53ea19e04b45b18c2823a3c","Mon Oct 14 17:50:07 2024","Wed Oct 30 16:23:18 2024",2017,514,81,1544,2139,13,2152,2,5,120,127,12,139,198,308,NA,0,506,12,26,NA,1,39,NA,NA,1051,127,2815,3993,16,4009,1,39,145,185,12,197,400,520,NA,0,920,13,35,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6497,1515,8012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5026883,3916721,36201686,0,45145290,14463487,2717633,0,17181120,25451406,0,1946029,0,1156250,11372048,0,12528298,4500,NA,0,4500,5926100,3134620,3333779
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2016-2017.pdf","44d12621447294fd33da343ae97585d9","Mon Oct 14 17:50:07 2024","Wed Oct 30 16:23:18 2024",2016,519,138,1562,2163,22,2167,NA,NA,NA,NA,NA,NA,341,508,NA,0,849,NA,NA,NA,NA,NA,NA,NA,1049,NA,2575,3762,NA,3784,2,34,148,184,20,204,NA,NA,NA,NA,NA,11,49,NA,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6293,1430,7723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31300,NA,NA,NA,NA,1520,NA,6440,5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4860544,3759948,31538186,0,40158678,8568429,2617805,0,11186234,24018849,0,1819009,0,1125900,9848328,0,10974228,15512,NA,0,15512,5324663,2915464,3170758
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2015-2016.pdf","de6bf09c060dddcf552489598cae33b7","Mon Oct 14 17:50:07 2024","Wed Oct 30 16:23:18 2024",2015,504,89,1545,2138,5,2143,0,6,125,131,13,144,160,276,NA,0,436,9,39,NA,1,49,NA,NA,883,86,2510,3479,17,3496,0,31,154,185,15,200,285,523,NA,0,808,6,66,NA,2,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5983,1367,7350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4407596,3869998,23683916,0,31961510,9406992,1665139,0,11072131,20928507,0,1684778,0,1241100,7231901,0,8473001,0,NA,0,0,4445547,2464670,2850372
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2014-2015.pdf","b542b47abbee646496a875c78c774a13","Mon Oct 14 17:50:08 2024","Wed Oct 30 16:23:18 2024",2014,901,90,1525,2087,12,2095,NA,NA,NA,NA,NA,NA,310,501,NA,0,811,NA,NA,NA,NA,NA,NA,NA,NA,NA,2342,3333,NA,3345,0,51,165,216,21,237,NA,NA,NA,NA,NA,10,75,NA,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5837,1407,7244,28600,NA,NA,NA,28600,1400,10970,6050,4920,NA,28600,NA,NA,NA,28600,1400,10970,6050,4920,NA,NA,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2350,2500,NA,NA,NA,NA,2250,2500,4448935,3831450,19723433,0,28003818,9756198,1037357,0,10793555,19138290,0,1627591,8947,1307150,5949172,0,7265269,NA,NA,0,0,3270856,1983513,2645556
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2013-2014.pdf","9e3b5979f4295976deaa27ad4acaabe7","Mon Oct 14 17:50:08 2024","Wed Oct 30 16:23:18 2024",2013,480,72,1512,2064,2,2066,0,8,127,135,15,150,155,302,NA,0,457,6,39,NA,0,45,NA,NA,763,101,2179,3043,8,3051,0,47,176,223,16,239,280,525,NA,1,806,13,88,NA,0,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5506,1409,6915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27320,NA,NA,NA,NA,1340,10530,5850,4680,NA,NA,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2250,2500,4034376,3846300,18412361,0,26293037,10132539,955879,0,11088418,17901110,0,NA,3760,1334650,5156324,0,6494734,NA,NA,0,0,3270458,2110858,4041932
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2012-2013.pdf","686eb70bde5fcfa72da76446bfeaf380","Mon Oct 14 17:50:08 2024","Wed Oct 30 16:23:18 2024",2012,502,70,1443,2015,10,2025,0,12,114,126,19,145,186,226,NA,2,414,18,53,NA,4,75,NA,NA,752,94,2027,2873,8,2881,0,56,167,223,15,238,303,452,NA,2,757,44,76,NA,10,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5289,1376,6665,26100,NA,NA,NA,26100,1280,10000,5650,4350,NA,26100,NA,NA,NA,26100,1280,10000,5650,4350,NA,NA,NA,NA,NA,NA,1950,2300,NA,NA,NA,NA,1950,2300,NA,NA,NA,NA,1950,2300,3711841,385000,10129600,1034127,15260568,7559544,773000,0,8332544,0,0,0,0,4586950,10910832,0,15497782,3578599,0,0,3578599,10117297,1737222,4031061
"Brandeis University","https://www.brandeis.edu/institutional-research/common-data-set/../docs/cds-2023-24.pdf","44b8e8ce8cd3ba02bdb14eae0d9d69cc","Mon Oct 14 17:50:09 2024","Wed Oct 30 16:23:18 2024",2023,2,0,2,4,3,7,NA,NA,NA,NA,NA,NA,3,155,NA,8,166,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,4,7,NA,NA,NA,NA,NA,NA,24,202,NA,23,249,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,3675,1627,5302,67082,NA,NA,NA,NA,998,18584,10600,7984,NA,67082,NA,NA,NA,NA,598,19944,11960,7984,NA,NA,1000,NA,2758,NA,NA,1200,1000,NA,NA,NA,NA,1200,1000,8955,4358,13313,NA,1200,3866212,769173,67169147,1838217,73642749,5137530,NA,658477,8644360,NA,NA,NA,0,967,13269319,2765629,16035915,3676582,NA,556735,4233317,1485854,397941,0
"Brandeis University","https://www.brandeis.edu/institutional-research/common-data-set/../docs/cds-2022-23.pdf","46893dbdf64e4357f56bd32b68c060a4","Wed Oct  9 07:42:49 2024","Wed Oct 30 16:23:18 2024",2022,437,23,1108,2103,2106,NA,0,0,2,NA,NA,NA,286,509,NA,10,805,NA,NA,NA,NA,NA,NA,NA,550,18,1535,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,2,6,NA,6,156,NA,11,168,8,217,NA,44,256,NA,NA,3687,1894,5581,61724,NA,NA,NA,NA,998,17092,9746,7346,NA,61724,NA,NA,NA,NA,598,17092,9746,7346,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,1350,NA,NA,NA,NA,8634,3440,NA,NA,NA,3841658,748182,63279801,1769054,69638695,5863633,2594291,681289,9139213,1582750,292900,0,68,1360,11958551,2485742,14445721,3342505,NA,469037,3811542,3583888,793972,0
"Brandeis University","https://www.brandeis.edu/institutional-research/common-data-set/../docs/cds-2021-22.pdf","41998877eeab5065da4441fe39428ce3","Wed Oct  9 07:42:49 2024","Wed Oct 30 16:23:19 2024",2021,385,22,1043,1450,NA,NA,0,0,3,3,NA,NA,276,413,NA,10,699,6,135,NA,15,156,NA,NA,554,22,1539,2115,NA,NA,2,0,7,9,NA,NA,340,505,NA,8,853,14,219,NA,26,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3591,1967,5558,59408,NA,NA,NA,NA,983,16650,9380,7270,NA,59408,NA,NA,NA,NA,598,16650,9380,7270,NA,NA,1000,NA,NA,NA,NA,NA,1000,NA,1200,NA,NA,NA,1000,8310,3310,11620,NA,NA,3670919,639184,56928852,1311851,62550806,6071219,2994740,607089,9673048,1080194,280846,0,0,0,9534863,1633653,11168516,3378808,NA,462610,3841418,3129890,423265,0
"Brandeis University","https://www.brandeis.edu/institutional-research/common-data-set/../docs/cds-2020-21.pdf","6d67e749fc8c5a2555eeeeecdecb4ebd","Wed Oct  9 07:42:50 2024","Wed Oct 30 16:23:19 2024",2020,320,13,1050,1383,NA,NA,3,0,5,8,NA,NA,195,419,NA,3,617,39,154,NA,49,242,NA,NA,424,19,1639,2082,NA,NA,0,0,8,8,NA,NA,299,459,NA,7,765,53,205,NA,65,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3493,1947,5440,55340,NA,NA,NA,NA,2275,15890,9060,6910,NA,55340,NA,NA,NA,NA,1890,15890,9060,6910,NA,NA,1000,NA,NA,NA,NA,NA,1000,NA,1200,NA,NA,NA,1000,8030,3200,11230,NA,NA,3868891,651024,62510427,1628883,68659225,8479885,2801392,597714,11878991,1617008,200557,0,3752,0,9278718,2322232,11604702,2908258,NA,348581,3256839,3640350,608,0
"Brown University","https://oir.brown.edu/sites/default/files/2020-04/CDS_2023_2024.pdf","171bebc5e81f01b8243a37ad2421acd9","Wed Oct  9 07:42:50 2024","Wed Oct 30 16:23:19 2024",2023,847,25,2681,3553,4,3557,0,1,28,29,134,163,577,1119,NA,0,1696,32,24,NA,14,70,NA,NA,848,8,2802,3658,5,3663,0,1,32,33,325,358,677,1239,NA,0,1916,36,27,NA,29,92,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,1,NA,NA,7741,3775,11516,68612,NA,NA,NA,68612,2700,17444,9940,7504,NA,68612,NA,NA,NA,68612,2700,17444,9940,7504,NA,NA,NA,NA,NA,NA,NA,2820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2820,7827764,70410,200663158,8392161,216953493,2086623,3254003,3804841,9145467,134712,642362,0,5587,0,591914,8774360,9371861,9632326,NA,NA,9632326,10073305,2728310,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2017-2018.pdf","c1eceeca070e12f7a0f97437960a6637","Wed Oct  9 07:42:52 2024","Wed Oct 30 16:23:19 2024",2017,745,11,2389,3145,3,3148,0,0,10,10,68,78,450,1010,NA,1,1461,70,69,NA,14,153,NA,NA,892,8,2609,3509,9,3518,0,0,6,6,238,244,502,865,NA,1,1368,47,48,NA,30,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6988,3107,10095,54320,NA,NA,NA,54320,1236,14670,9120,5550,NA,54320,NA,NA,NA,54320,1236,14670,9120,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2071,5977032,145360,122516787,5058539,133697718,9915805,4290639,810309,15016753,222895,823023,0,4598,0,69780,5743963,5818341,6379197,NA,0,6379197,9505530,2665916,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/Brown%20CDS_2016-2017_Final.pdf","5c247c4909f61bd7410e73adaa4222f8","Wed Oct  9 07:42:52 2024","Wed Oct 30 16:23:19 2024",2016,777,9,2347,3133,3,3136,0,0,10,10,87,97,412,971,NA,1,1384,61,31,NA,24,116,NA,NA,902,9,2512,3423,6,3429,0,0,14,14,250,264,395,852,NA,0,1247,35,43,NA,30,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6926,2855,9781,52231,NA,NA,NA,52231,1188,14020,8784,5236,NA,52231,NA,NA,NA,52231,1188,14020,8784,5236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2040,5251285,82455,118016060,5519848,128869648,7799085,4194842,1035940,13029867,369951,795028,0,4234,0,69633,5276344,5350211,6251103,NA,0,6251103,8995274,2525866,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2015-2016%20to%20use.pdf","70f8db802ce28d0c0fdc6558d94c6d60","Wed Oct  9 07:42:53 2024","Wed Oct 30 16:23:19 2024",2015,738,9,2259,3006,9,3015,0,0,9,9,102,111,412,953,NA,2,1367,43,43,NA,21,107,NA,NA,875,16,2405,3296,7,3303,0,1,8,9,214,223,391,815,NA,3,1209,35,61,NA,27,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6652,2806,9458,50224,NA,NA,NA,50224,1142,13200,8284,4916,NA,50224,NA,NA,NA,50224,1142,13200,8284,4916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,2000,5531796,80566,107598625,4817166,118028153,9430317,4044743,1063867,14538927,164770,524722,0,0,0,110000,3882646,3992646,3966088,NA,NA,3966088,7816195,2714943,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2014-2015.pdf","d9f7d9d6c0397506b63a0eb866390ff7","Wed Oct  9 07:42:53 2024","Wed Oct 30 16:23:19 2024",2014,764,8,2269,3041,8,3049,0,0,16,16,85,101,391,914,NA,3,1308,4,24,NA,13,41,NA,NA,795,9,2396,3200,6,3206,0,0,7,7,185,192,382,810,NA,1,1193,20,39,NA,32,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6548,2633,9181,48272,NA,NA,NA,48272,1074,12700,7972,4728,NA,48272,NA,NA,NA,48272,1074,12700,7972,4728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884,NA,NA,NA,NA,NA,1884,5675182,114038,100283244,5230651,111303115,8095402,3800252,927421,12823075,116283,689412,NA,2062,NA,60000,4091191,4153253,2891315,NA,NA,2891315,7985252,2558968,NA
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2012-2013.pdf","cf463fdf91875e199a037c26657ae8ff","Wed Oct  9 07:42:54 2024","Wed Oct 30 16:23:19 2024",2012,698,8,2231,2937,6,2943,0,0,21,21,81,102,328,821,NA,1,1150,5,40,NA,17,62,NA,NA,838,3,2325,3166,8,3174,0,0,9,9,207,216,347,804,NA,2,1153,13,49,NA,23,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6435,2450,8885,44608,NA,NA,NA,44608,1004,11620,7200,4420,NA,44608,NA,NA,NA,44608,1004,11620,7200,4420,NA,NA,1404,NA,NA,NA,NA,1824,1404,NA,4420,NA,NA,1824,1404,7200,4420,NA,NA,1824,4871445,153468,88831766,4959596,98816275,8371135,3538075,868676,12777886,117878,554369,0,5442,0,50793,3952277,4008512,3289353,NA,0,3289353,8739314,2278415,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2011-2012_Brown.pdf","2d597c7082e2517de93d5c6ad01bac61","Wed Oct  9 07:42:54 2024","Wed Oct 30 16:23:19 2024",2011,735,8,2229,2972,5,2977,0,0,5,5,60,65,316,792,NA,2,1110,19,35,NA,21,75,NA,NA,772,5,2351,3128,9,3137,0,0,13,13,188,201,300,818,NA,4,1122,23,33,NA,25,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6380,2388,8768,42808,NA,NA,NA,42808,950,11258,6974,4284,NA,42808,NA,NA,NA,42808,950,11258,6974,4284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1764,4704987,148453,81330817,4456202,90640459,7984515,3331326,778076,12093917,250947,510192,0,53368,0,68728,3604219,3726315,3839182,NA,0,3839182,8471009,1902522,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS_2010-11_Brown.pdf","1e8bd79db874b20d11e87490d490e96a","Wed Oct  9 07:42:54 2024","Wed Oct 30 16:23:19 2024",2010,714,5,2190,2909,1,2910,0,0,9,9,71,80,291,813,NA,4,1108,7,30,NA,18,55,NA,NA,785,11,2381,3177,5,3182,0,0,7,7,139,146,332,794,NA,5,1131,15,33,NA,35,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6318,2377,8695,41328,NA,NA,NA,41328,902,10906,6748,4158,NA,41328,NA,NA,NA,41328,902,10906,6748,4158,NA,NA,1358,NA,NA,NA,NA,1766,1358,NA,4158,NA,NA,1766,1358,6748,4158,NA,NA,1766,5699060,202952,79606270,3965183,89473465,8097397,3372478,739144,12209019,300940,594158,0,366925,NA,58000,3490801,3915726,4204816,NA,NA,4204816,8831398,1519642,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS2009_2010.pdf","9578192509e689eec74ddf908dcfdce5","Wed Oct  9 07:42:54 2024","Wed Oct 30 16:23:19 2024",2009,723,7,2128,2858,2,2860,0,0,10,10,80,90,295,809,NA,4,1108,11,33,NA,25,69,NA,NA,770,5,2363,3138,4,3142,0,0,7,7,145,152,329,727,NA,3,1059,8,36,NA,50,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6244,2330,8574,39928,NA,NA,NA,39928,892,10540,6522,4018,NA,39928,NA,NA,NA,39928,892,10540,6522,4018,NA,NA,1310,NA,NA,NA,NA,1700,1310,NA,4018,NA,NA,1700,1310,6522,4018,NA,NA,1700,4971989,174450,70154221,3008272,78308932,7394671,3020870,689132,11104673,201840,457449,0,453131,0,98000,3143678,3694809,4655791,NA,0,4655791,9260036,1891521,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/CDS2008_2009.pdf","03f0ca3db97aa3384be54de524416046","Wed Oct  9 07:42:55 2024","Wed Oct 30 16:23:19 2024",2008,735,8,2082,2825,8,2833,0,1,8,9,71,80,232,645,NA,1,878,9,22,NA,23,54,NA,NA,813,11,2202,3026,11,3037,0,0,14,14,131,145,240,553,NA,NA,795,11,25,NA,51,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6095,2223,8318,38048,NA,NA,NA,38048,800,10280,6360,3920,NA,38048,NA,NA,NA,38048,800,10280,6360,3920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636,4007541,162297,68721993,3208899,76100730,6378130,3023578,753373,10155081,0,427700,0,606956,0,0,3037237,3644193,6622461,NA,0,6622461,7807658,2358490,0
"Brown University","https://oir.brown.edu/sites/g/files/dprerj381/files/2020-04/Brown_CDS07_08.pdf","20164ce0af2d77bb4348d77cc833a472","Wed Oct  9 07:42:55 2024","Wed Oct 30 16:23:19 2024",2007,665,NA,2111,2776,3,2779,0,NA,17,17,63,80,210,693,NA,4,907,8,18,NA,14,40,NA,NA,814,NA,2191,3005,6,3011,0,NA,15,15,123,138,209,571,NA,2,782,9,17,NA,31,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6008,2159,8167,36928,NA,NA,NA,36928,790,10022,6216,3806,NA,36928,NA,NA,NA,36928,790,10022,6216,3806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1590,3374058,241400,55277312,2138805,61031575,11079314,2832766,149087,14061167,0,363832,0,0,0,0,2984736,2984736,6950164,NA,0,6950164,7409754,2224879,0
